"work","workDate","relatedConceptsWork"
"https://semopenalex.org/work/W4298641629","2023-01-01","https://semopenalex.org/concept/C185592680"
"https://semopenalex.org/work/W4298641629","2023-01-01","https://semopenalex.org/concept/C127413603"
"https://semopenalex.org/work/W4298641629","2023-01-01","https://semopenalex.org/concept/C192562407"
"https://semopenalex.org/work/W4298641629","2023-01-01","https://semopenalex.org/concept/C171250308"
"https://semopenalex.org/work/W4298641629","2023-01-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4298641629","2023-01-01","https://semopenalex.org/concept/C112930515"
"https://semopenalex.org/work/W4298641629","2023-01-01","https://semopenalex.org/concept/C183696295"
"https://semopenalex.org/work/W4298641629","2023-01-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4298641629","2023-01-01","https://semopenalex.org/concept/C138631740"
"https://semopenalex.org/work/W4298641629","2023-01-01","https://semopenalex.org/concept/C3019816032"
"https://semopenalex.org/work/W4210597819","2023-01-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4210597819","2023-01-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4210597819","2023-01-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4210597819","2023-01-01","https://semopenalex.org/concept/C143998085"
"https://semopenalex.org/work/W4210597819","2023-01-01","https://semopenalex.org/concept/C177713679"
"https://semopenalex.org/work/W4210597819","2023-01-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4306731529","2023-01-01","https://semopenalex.org/concept/C86803240"
"https://semopenalex.org/work/W4306731529","2023-01-01","https://semopenalex.org/concept/C104317684"
"https://semopenalex.org/work/W4306731529","2023-01-01","https://semopenalex.org/concept/C203014093"
"https://semopenalex.org/work/W4306731529","2023-01-01","https://semopenalex.org/concept/C54355233"
"https://semopenalex.org/work/W4306731529","2023-01-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4306731529","2023-01-01","https://semopenalex.org/concept/C96232424"
"https://semopenalex.org/work/W4306731529","2023-01-01","https://semopenalex.org/concept/C502942594"
"https://semopenalex.org/work/W4306731529","2023-01-01","https://semopenalex.org/concept/C2779338263"
"https://semopenalex.org/work/W4306731529","2023-01-01","https://semopenalex.org/concept/C64927066"
"https://semopenalex.org/work/W4306731529","2023-01-01","https://semopenalex.org/concept/C119157956"
"https://semopenalex.org/work/W4306731529","2023-01-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4210622033","2023-01-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4210622033","2023-01-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4210622033","2023-01-01","https://semopenalex.org/concept/C2779134260"
"https://semopenalex.org/work/W4210622033","2023-01-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4210622033","2023-01-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4210267354","2023-01-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4210267354","2023-01-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4210267354","2023-01-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4210267354","2023-01-01","https://semopenalex.org/concept/C177713679"
"https://semopenalex.org/work/W4210267354","2023-01-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4306738771","2023-01-01","https://semopenalex.org/concept/C86803240"
"https://semopenalex.org/work/W4306738771","2023-01-01","https://semopenalex.org/concept/C185592680"
"https://semopenalex.org/work/W4306738771","2023-01-01","https://semopenalex.org/concept/C54355233"
"https://semopenalex.org/work/W4306738771","2023-01-01","https://semopenalex.org/concept/C55493867"
"https://semopenalex.org/work/W4306738771","2023-01-01","https://semopenalex.org/concept/C95444343"
"https://semopenalex.org/work/W4306738771","2023-01-01","https://semopenalex.org/concept/C178790620"
"https://semopenalex.org/work/W4306738771","2023-01-01","https://semopenalex.org/concept/C192562407"
"https://semopenalex.org/work/W4306738771","2023-01-01","https://semopenalex.org/concept/C171250308"
"https://semopenalex.org/work/W4306738771","2023-01-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4306738771","2023-01-01","https://semopenalex.org/concept/C55904794"
"https://semopenalex.org/work/W4306738771","2023-01-01","https://semopenalex.org/concept/C79879829"
"https://semopenalex.org/work/W4306738771","2023-01-01","https://semopenalex.org/concept/C48349386"
"https://semopenalex.org/work/W4306738771","2023-01-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4210763646","2023-01-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4210763646","2023-01-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4210763646","2023-01-01","https://semopenalex.org/concept/C41008148"
"https://semopenalex.org/work/W4210763646","2023-01-01","https://semopenalex.org/concept/C38652104"
"https://semopenalex.org/work/W4210763646","2023-01-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4210763646","2023-01-01","https://semopenalex.org/concept/C143998085"
"https://semopenalex.org/work/W4210763646","2023-01-01","https://semopenalex.org/concept/C26517878"
"https://semopenalex.org/work/W4210763646","2023-01-01","https://semopenalex.org/concept/C19527891"
"https://semopenalex.org/work/W4210763646","2023-01-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4303614904","2023-01-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4303614904","2023-01-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4303614904","2023-01-01","https://semopenalex.org/concept/C159110408"
"https://semopenalex.org/work/W4303614904","2023-01-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4303614904","2023-01-01","https://semopenalex.org/concept/C143998085"
"https://semopenalex.org/work/W4303614904","2023-01-01","https://semopenalex.org/concept/C2994186709"
"https://semopenalex.org/work/W4303614904","2023-01-01","https://semopenalex.org/concept/C2779951463"
"https://semopenalex.org/work/W4303614904","2023-01-01","https://semopenalex.org/concept/C177713679"
"https://semopenalex.org/work/W4303614904","2023-01-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4210618444","2023-01-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4210618444","2023-01-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4210618444","2023-01-01","https://semopenalex.org/concept/C41008148"
"https://semopenalex.org/work/W4210618444","2023-01-01","https://semopenalex.org/concept/C38652104"
"https://semopenalex.org/work/W4210618444","2023-01-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4210618444","2023-01-01","https://semopenalex.org/concept/C143998085"
"https://semopenalex.org/work/W4210618444","2023-01-01","https://semopenalex.org/concept/C26517878"
"https://semopenalex.org/work/W4210618444","2023-01-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4210722111","2023-01-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4210722111","2023-01-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4210722111","2023-01-01","https://semopenalex.org/concept/C41008148"
"https://semopenalex.org/work/W4210722111","2023-01-01","https://semopenalex.org/concept/C38652104"
"https://semopenalex.org/work/W4210722111","2023-01-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4210722111","2023-01-01","https://semopenalex.org/concept/C143998085"
"https://semopenalex.org/work/W4210722111","2023-01-01","https://semopenalex.org/concept/C2776598537"
"https://semopenalex.org/work/W4210722111","2023-01-01","https://semopenalex.org/concept/C26517878"
"https://semopenalex.org/work/W4210722111","2023-01-01","https://semopenalex.org/concept/C177713679"
"https://semopenalex.org/work/W4210722111","2023-01-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4210423589","2023-01-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4210423589","2023-01-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4210423589","2023-01-01","https://semopenalex.org/concept/C2779134260"
"https://semopenalex.org/work/W4210423589","2023-01-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4210423589","2023-01-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C86803240"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C185592680"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C55493867"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C95444343"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C127413603"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C192562407"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C171250308"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C42360764"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C191897082"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C136229726"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C1491633281"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C189942447"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C2777230088"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C138631740"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C2779820397"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C10854531"
"https://semopenalex.org/work/W4221056960","2022-12-01","https://semopenalex.org/concept/C171056886"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C86803240"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C138885662"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C111472728"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C170493617"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C192562407"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C171250308"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C89423630"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C98274493"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C29730261"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C502942594"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C2780035454"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C42362537"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C114851261"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C18150654"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C2779820397"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C2778820342"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C2776999253"
"https://semopenalex.org/work/W4285046358","2022-12-01","https://semopenalex.org/concept/C89611455"
"https://semopenalex.org/work/W4297103460","2022-12-01","https://semopenalex.org/concept/C71924100"
"https://semopenalex.org/work/W4297103460","2022-12-01","https://semopenalex.org/concept/C126322002"
"https://semopenalex.org/work/W4297103460","2022-12-01","https://semopenalex.org/concept/C185592680"
"https://semopenalex.org/work/W4297103460","2022-12-01","https://semopenalex.org/concept/C178790620"
"https://semopenalex.org/work/W4297103460","2022-12-01","https://semopenalex.org/concept/C108225325"
"https://semopenalex.org/work/W4297103460","2022-12-01","https://semopenalex.org/concept/C192562407"
"https://semopenalex.org/work/W4297103460","2022-12-01","https://semopenalex.org/concept/C49040817"
"https://semopenalex.org/work/W4297103460","2022-12-01","https://semopenalex.org/concept/C171250308"
"https://semopenalex.org/work/W4297103460","2022-12-01","https://semopenalex.org/concept/C121608353"
"https://semopenalex.org/work/W4297103460","2022-12-01","https://semopenalex.org/concept/C2781323092"
"https://semopenalex.org/work/W4297103460","2022-12-01","https://semopenalex.org/concept/C2776107976"
"https://semopenalex.org/work/W4297103460","2022-12-01","https://semopenalex.org/concept/C2983331546"
"https://semopenalex.org/work/W4297103460","2022-12-01","https://semopenalex.org/concept/C138631740"
